,open_time,close_time,Open,High,Low,Volume
51,1599274800000,1599278399999,330.06000000,331.97000000,328.41000000,6.07472000
52,1599278400000,1599281999999,328.00000000,330.12000000,327.00000000,45.45065000
53,1599282000000,1599285599999,326.34000000,327.35000000,323.98000000,103.14495000
54,1599285600000,1599289199999,324.52000000,329.93000000,323.27000000,132.49053000
55,1599289200000,1599292799999,327.29000000,327.29000000,321.51000000,225.82281000
56,1599292800000,1599296399999,322.28000000,322.28000000,317.00000000,71.94543000
57,1599296400000,1599299999999,316.50000000,319.09000000,311.26000000,212.66495000
58,1599300000000,1599303599999,311.51000000,314.82000000,307.71000000,179.79389000
59,1599303600000,1599307199999,307.54000000,310.43000000,295.37000000,687.78571000
60,1599307200000,1599310799999,301.92000000,305.75000000,285.00000000,451.44334000
61,1599310800000,1599314399999,285.01000000,303.00000000,284.66000000,333.29389000
62,1599314400000,1599317999999,303.87000000,304.84000000,298.51000000,94.38686000
63,1599318000000,1599321599999,303.77000000,305.46000000,301.46000000,103.44472000
64,1599321600000,1599325199999,303.18000000,305.13000000,288.36000000,407.08167000
65,1599325200000,1599328799999,298.67000000,300.62000000,285.00000000,523.14954000
66,1599328800000,1599332399999,289.49000000,292.70000000,262.16000000,1310.93521000
67,1599332400000,1599335999999,276.89000000,284.06000000,263.83000000,2047.53339000
68,1599336000000,1599339599999,274.40000000,284.62000000,268.43000000,600.80685000
69,1599339600000,1599343199999,281.70000000,283.62000000,277.49000000,298.20460000
70,1599343200000,1599346799999,281.87000000,285.58000000,272.41000000,532.63350000
71,1599346800000,1599350399999,272.41000000,286.52000000,269.49000000,535.73470000
72,1599350400000,1599353999999,284.02000000,290.88000000,280.76000000,258.23044000
73,1599354000000,1599357599999,288.32000000,289.02000000,279.97000000,144.06994000
74,1599357600000,1599361199999,280.75000000,282.81000000,274.00000000,190.15187000
75,1599361200000,1599364799999,282.31000000,282.72000000,277.27000000,119.13769000
76,1599364800000,1599368399999,279.59000000,281.87000000,272.33000000,91.90282000
77,1599368400000,1599371999999,273.69000000,277.14000000,269.12000000,291.98266000
78,1599372000000,1599375599999,276.22000000,282.14000000,271.72000000,194.48718000
79,1599375600000,1599379199999,281.49000000,290.33000000,278.24000000,246.86014000
80,1599379200000,1599382799999,289.32000000,299.23000000,287.19000000,412.56314000
81,1599382800000,1599386399999,299.27000000,300.62000000,291.57000000,174.98728000
82,1599386400000,1599389999999,294.98000000,297.43000000,290.03000000,274.86414000
83,1599390000000,1599393599999,297.41000000,302.13000000,294.14000000,408.13405000
84,1599393600000,1599397199999,301.04000000,304.03000000,299.05000000,232.91135000
85,1599397200000,1599400799999,299.66000000,299.73000000,294.27000000,335.63753000
86,1599400800000,1599404399999,296.00000000,299.72000000,291.30000000,215.73425000
87,1599404400000,1599407999999,295.11000000,295.11000000,286.59000000,259.30511000
88,1599408000000,1599411599999,293.11000000,301.79000000,289.41000000,228.60490000
89,1599411600000,1599415199999,300.00000000,300.23000000,295.36000000,77.83798000
90,1599415200000,1599418799999,294.14000000,299.70000000,293.66000000,66.22144000
91,1599418800000,1599422399999,296.67000000,301.78000000,296.45000000,238.06471000
92,1599422400000,1599425999999,300.66000000,302.29000000,297.83000000,158.14690000
93,1599426000000,1599429599999,298.61000000,305.98000000,298.61000000,171.09984000
94,1599429600000,1599433199999,303.03000000,304.07000000,295.84000000,248.79045000
95,1599433200000,1599436799999,298.43000000,302.09000000,297.55000000,93.34264000
96,1599436800000,1599440399999,299.28000000,304.40000000,298.94000000,107.66153000
97,1599440400000,1599443999999,301.53000000,302.54000000,300.25000000,30.67851000
98,1599444000000,1599447599999,302.12000000,302.12000000,296.50000000,38.16783000
99,1599447600000,1599451199999,296.53000000,296.65000000,292.92000000,36.77642000
100,1599451200000,1599454799999,295.07000000,298.42000000,293.38000000,151.80326000
101,1599454800000,1599458399999,294.26000000,294.31000000,289.00000000,116.82347000
102,1599458400000,1599461999999,290.02000000,291.85000000,288.47000000,132.71555000
103,1599462000000,1599465599999,289.21000000,294.78000000,287.83000000,103.68895000
104,1599465600000,1599469199999,291.80000000,297.15000000,291.64000000,131.50110000
105,1599469200000,1599472799999,295.09000000,296.13000000,291.79000000,222.06020000
106,1599472800000,1599476399999,292.56000000,293.78000000,288.39000000,161.92540000
107,1599476400000,1599479999999,288.47000000,292.62000000,282.94000000,381.72362000
108,1599480000000,1599483599999,287.30000000,287.47000000,275.00000000,500.32295000
109,1599483600000,1599487199999,278.60000000,289.73000000,276.65000000,339.76317000
110,1599487200000,1599490799999,287.40000000,288.88000000,282.67000000,149.49346000
111,1599490800000,1599494399999,284.50000000,295.49000000,283.00000000,267.79460000
112,1599494400000,1599497999999,294.81000000,300.00000000,293.98000000,290.09854000
113,1599498000000,1599501599999,295.50000000,296.90000000,294.42000000,94.78004000
114,1599501600000,1599505199999,294.85000000,296.64000000,293.36000000,93.37048000
115,1599505200000,1599508799999,296.36000000,298.00000000,293.23000000,226.43150000
116,1599508800000,1599512399999,294.14000000,294.44000000,291.44000000,31.00888000
117,1599512400000,1599515999999,294.97000000,296.46000000,293.02000000,3.18673000
118,1599516000000,1599519599999,293.87000000,302.24000000,293.87000000,215.89194000
119,1599519600000,1599523199999,300.54000000,301.72000000,298.82000000,39.40653000
120,1599523200000,1599526799999,301.72000000,303.17000000,296.46000000,95.79182000
121,1599526800000,1599530399999,296.04000000,299.62000000,295.97000000,14.96359000
122,1599530400000,1599533999999,297.38000000,299.09000000,297.38000000,4.56726000
123,1599534000000,1599537599999,300.15000000,300.62000000,296.96000000,32.33035000
124,1599537600000,1599541199999,296.83000000,296.83000000,293.53000000,22.55235000
125,1599541200000,1599544799999,294.06000000,294.93000000,293.56000000,63.98409000
126,1599544800000,1599548399999,293.07000000,298.07000000,293.01000000,108.20313000
127,1599548400000,1599551999999,297.63000000,298.14000000,294.33000000,84.47717000
128,1599552000000,1599555599999,295.76000000,298.09000000,291.36000000,177.15319000
129,1599555600000,1599559199999,292.72000000,294.70000000,287.07000000,133.56657000
130,1599559200000,1599562799999,286.92000000,289.47000000,285.00000000,252.14794000
131,1599562800000,1599566399999,287.72000000,289.84000000,281.64000000,141.41872000
132,1599566400000,1599569999999,284.21000000,288.40000000,283.14000000,279.33573000
133,1599570000000,1599573599999,286.92000000,288.43000000,283.28000000,223.92349000
134,1599573600000,1599577199999,286.05000000,293.59000000,285.73000000,302.08675000
135,1599577200000,1599580799999,291.14000000,293.37000000,289.64000000,226.87531000
136,1599580800000,1599584399999,291.00000000,293.58000000,291.00000000,174.73270000
137,1599584400000,1599587999999,293.21000000,295.08000000,291.02000000,100.75388000
138,1599588000000,1599591599999,293.50000000,293.50000000,284.00000000,213.28691000
139,1599591600000,1599595199999,284.98000000,288.76000000,284.13000000,104.35440000
140,1599595200000,1599598799999,285.83000000,289.18000000,285.82000000,90.49624000
141,1599598800000,1599602399999,286.65000000,289.60000000,285.00000000,48.49616000
142,1599602400000,1599605999999,289.11000000,290.00000000,278.25000000,640.88823000
143,1599606000000,1599609599999,287.73000000,289.47000000,286.51000000,133.90210000
144,1599609600000,1599613199999,287.96000000,291.40000000,286.85000000,52.63824000
145,1599613200000,1599616799999,288.76000000,290.05000000,287.77000000,27.91580000
146,1599616800000,1599620399999,289.99000000,290.24000000,283.96000000,57.59580000
147,1599620400000,1599623999999,285.29000000,285.56000000,282.87000000,27.18773000
148,1599624000000,1599627599999,285.80000000,287.48000000,284.30000000,100.16282000
149,1599627600000,1599631199999,287.00000000,288.73000000,286.86000000,44.29554000
150,1599631200000,1599634799999,287.10000000,288.94000000,285.87000000,126.38392000
151,1599634800000,1599638399999,288.22000000,292.45000000,288.07000000,48.98004000
152,1599638400000,1599641999999,292.43000000,293.33000000,290.33000000,46.90429000
153,1599642000000,1599645599999,291.15000000,296.86000000,291.15000000,149.43185000
154,1599645600000,1599649199999,295.64000000,296.86000000,294.06000000,242.87551000
155,1599649200000,1599652799999,296.80000000,299.24000000,296.59000000,219.64850000
156,1599652800000,1599656399999,297.79000000,298.72000000,294.66000000,49.97223000
157,1599656400000,1599659999999,296.38000000,299.33000000,294.57000000,80.82248000
158,1599660000000,1599663599999,296.02000000,299.53000000,294.43000000,80.96032000
159,1599663600000,1599667199999,299.50000000,302.00000000,299.50000000,197.54512000
160,1599667200000,1599670799999,300.66000000,301.57000000,297.67000000,47.04011000
161,1599670800000,1599674399999,299.83000000,300.02000000,297.59000000,33.19025000
162,1599674400000,1599677999999,299.63000000,305.45000000,299.63000000,110.71698000
163,1599678000000,1599681599999,305.34000000,306.26000000,302.69000000,336.68783000
164,1599681600000,1599685199999,303.82000000,304.46000000,300.15000000,120.85749000
165,1599685200000,1599688799999,300.91000000,303.76000000,300.00000000,105.31724000
166,1599688800000,1599692399999,302.25000000,303.94000000,301.16000000,9.79847000
167,1599692400000,1599695999999,303.05000000,303.63000000,298.71000000,85.48623000
168,1599696000000,1599699599999,298.67000000,305.50000000,298.67000000,26.98745000
169,1599699600000,1599703199999,302.92000000,314.27000000,302.56000000,122.77344000
170,1599703200000,1599706799999,311.37000000,316.58000000,311.10000000,200.73413000
171,1599706800000,1599710399999,312.58000000,314.21000000,312.18000000,28.12137000
